,Speaker,Utterance,Unified
5,A,"Uh, very good.","A|Uh, very good."
6,M,"and so I try and, uh.","M|and so I try and, uh."
7,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
8,M,"Um, I do, I have, uh, one son who's a sophomore in high school.","M|Um, I do, I have, uh, one son who's a sophomore in high school."
9,A,"Yeah, there are, there are lots of bike paths. I know, my son is a biker and he, he's done the whole canal, I think it's a hundred and eighty miles, with the scouts.","A|Yeah, there are, there are lots of bike paths. I know, my son is a biker and he, he's done the whole canal, I think it's a hundred and eighty miles, with the scouts."
10,M,"Oh, my goodness.","M|Oh, my goodness."
11,A,"And so, but that somehow takes, organization. For me, it's much easier just the stationary bike, you know, it's at home, I can, I can do some of my reading,","A|And so, but that somehow takes, organization. For me, it's much easier just the stationary bike, you know, it's at home, I can, I can do some of my reading,"
12,M,Uh.,M|Uh.
13,A,"Um, but,","A|Um, but,"
14,M,"Well, I've never done that before.","M|Well, I've never done that before."
15,A,"No, I live in Maryland.","A|No, I live in Maryland."
16,M,"Oh, you do?","M|Oh, you do?"
17,A,"Right, right, and that's it, um, at work we have a, a nice campus,","A|Right, right, and that's it, um, at work we have a, a nice campus,"
18,M,Uh-huh.,M|Uh-huh.
19,A,"I mean, we're within walking distance of, of stores and shops so I do. Now, I think, um, basically, is your motive simply, um, health or because you enjoy it?","A|I mean, we're within walking distance of, of stores and shops so I do. Now, I think, um, basically, is your motive simply, um, health or because you enjoy it?"
20,M,"Well, because, um. Well, I like exercise, I enjoy it, but I, I don't like to go out and do it. I, uh, I have a problem with it, I, you know, I can't handle it any more.","M|Well, because, um. Well, I like exercise, I enjoy it, but I, I don't like to go out and do it. I, uh, I have a problem with it, I, you know, I can't handle it any more."
21,A,"Uh-huh, right. I think pretty much you summed up my, my, my motivations also.","A|Uh-huh, right. I think pretty much you summed up my, my, my motivations also."
22,M,"Yes, it is.","M|Yes, it is."
23,A,"Oh, well, that's great, that's great.","A|Oh, well, that's great, that's great."
24,M,"So, I'm, I've been doing a lot of, uh.","M|So, I'm, I've been doing a lot of, uh."
25,A,Uh-huh.,A|Uh-huh.
26,M,"but then after that it starts, it starts to build up again.","M|but then after that it starts, it starts to build up again."
27,A,"Right. And actually in, in summer I like to swim. We don't have facilities for swimming in winter, but, um, and, and that's true, when I go home from work at the end of the day, if I go up for an hour in the pool, I'm much, much more awake, I'm ready to work in the garden or whatever in the evening.","A|Right. And actually in, in summer I like to swim. We don't have facilities for swimming in winter, but, um, and, and that's true, when I go home from work at the end of the day, if I go up for an hour in the pool, I'm much, much more awake, I'm ready to work in the garden or whatever in the evening."
28,M,"Uh, that is good.","M|Uh, that is good."
29,A,So.,A|So.
30,M,"Well, that's interesting.","M|Well, that's interesting."
31,A,"No, I'm not.","A|No, I'm not."
