Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	3	i've got a	22	6	1	M	17, 22
2	2	3	it on the	23	4	1	f	20, 23
2	2	3	to the right	111	102	1	f	10, 111
8	8	2	of the	4	102	1	M	1, 4, 19, 20, 56, 64, 94, 102
6	4	2	to the	17	108	2	f	4, 10, 17, 23, 76, 111
5	3	2	the right	23	102	1	f	10, 23, 25, 101, 111
4	4	2	i don't	51	56	1	f	40, 51, 56, 95
4	2	2	on the	20	5	1	M	19, 20, 22, 23
4	4	2	you mean	92	75	1	M	31, 92, 93, 105
3	3	2	i think	27	12	1	f	20, 27, 31
3	1	2	i've got	110	94	1	M	17, 22, 110
3	3	2	past the	60	44	1	M	57, 60, 100
2	2	2	cactus thing	23	4	1	f	20, 23
2	2	2	diamond mine	69	10	1	f	60, 69
2	2	2	got anything	99	56	1	f	44, 99
2	2	2	i just	97	88	1	f	10, 97
2	2	2	i'm going	111	62	1	f	50, 111
2	2	2	i've been	55	20	1	f	36, 55
2	2	2	just a	69	44	1	f	26, 69
2	2	2	just go	81	72	1	f	10, 81
2	2	2	on my	47	8	1	f	40, 47
2	2	2	the diamond	75	16	1	f	60, 75
2	2	2	the way	44	42	1	M	3, 44
34	20	1	the	4	111	2	M	1, 3, 4, 5, 10, 16, 17, 19, 20, 22, 23, 25, 31, 32, 35, 44, 45, 56, 57, 60, 64, 74, 75, 76, 82, 88, 92, 94, 100, 101, 102, 105, 107, 111
25	20	1	right	23	114	5	f	0, 2, 10, 20, 22, 23, 25, 27, 36, 38, 41, 44, 46, 76, 78, 80, 82, 86, 87, 88, 89, 101, 109, 111, 113
16	10	1	to	17	110	3	f	2, 4, 10, 17, 19, 20, 23, 37, 51, 55, 57, 71, 76, 81, 99, 111
16	12	1	you	44	103	6	M	3, 15, 19, 23, 31, 37, 44, 52, 59, 69, 75, 77, 92, 93, 99, 105
15	11	1	a	1	104	1	f	0, 1, 11, 17, 20, 22, 24, 26, 36, 69, 71, 79, 93, 94, 103
15	7	1	i	11	88	1	f	10, 11, 20, 27, 31, 40, 51, 52, 53, 55, 56, 61, 65, 95, 97
9	9	1	and	33	114	2	f	0, 20, 33, 39, 44, 50, 82, 87, 113
9	9	1	no	42	106	2	M	9, 25, 42, 43, 52, 58, 78, 111, 114
9	2	1	of	10	102	1	M	1, 4, 10, 19, 20, 56, 64, 94, 102
8	6	1	go	13	80	1	f	10, 13, 23, 33, 39, 56, 81, 89
8	7	1	i'm	50	73	2	M	39, 47, 50, 64, 74, 82, 102, 111
8	7	1	it	20	65	1	M	3, 20, 23, 29, 39, 53, 61, 67
8	3	1	just	39	91	3	f	10, 20, 26, 39, 69, 81, 97, 100
8	2	1	on	20	76	2	M	13, 19, 20, 22, 23, 40, 47, 88
7	2	1	i've	17	109	1	f	2, 17, 20, 22, 36, 55, 110
7	7	1	okay	57	37	1	f	38, 57, 62, 64, 66, 72, 74
6	6	1	at	44	100	2	M	3, 37, 44, 64, 82, 102
6	2	1	mean	92	75	3	M	31, 55, 91, 92, 93, 105
6	6	1	so	57	106	3	f	2, 10, 36, 57, 82, 107
6	6	1	yeah	97	55	4	f	44, 88, 94, 96, 97, 98
5	5	1	have	21	56	1	f	20, 21, 40, 44, 75
5	5	1	it's	44	88	2	M	1, 43, 44, 85, 88
5	5	1	not	44	55	2	M	25, 43, 44, 57, 79
4	4	1	do	51	56	1	f	20, 51, 67, 75
4	2	1	going	50	75	1	M	37, 50, 57, 111
4	4	1	like	88	22	1	M	73, 88, 93, 94
4	4	1	now	109	46	3	f	64, 74, 102, 109
4	4	1	where	60	24	3	M	37, 41, 49, 60
3	1	1	anything	53	56	1	f	44, 53, 99
3	3	1	are	94	58	2	M	37, 77, 94
3	3	1	be	52	71	1	M	15, 52, 85
3	3	1	but	56	90	1	M	21, 56, 110
3	3	1	fine	85	38	2	f	48, 74, 85
3	3	1	fort	91	92	2	f	0, 44, 91
3	3	1	is	32	43	1	M	29, 32, 71
3	3	1	left	40	75	1	M	17, 40, 91
3	1	1	mine	69	38	2	f	32, 60, 69
3	3	1	pillars	74	64	1	M	19, 74, 82
3	3	1	that	97	96	2	f	2, 52, 97
3	3	1	that's	74	55	1	M	25, 74, 79
3	3	1	then	110	27	1	M	87, 110, 113
3	3	1	there	103	31	1	f	80, 103, 110
3	3	1	this	71	54	1	f	20, 71, 73
3	3	1	up	94	95	1	M	19, 94, 113
3	1	1	way	47	45	1	M	3, 44, 47
2	2	1	bit	26	26	1	M	1, 26
2	2	1	doing	77	26	1	f	52, 77
2	2	1	one	40	16	1	M	25, 40
2	2	1	or	7	4	1	f	4, 7
2	2	1	south	30	24	1	M	7, 30
2	2	1	stone	69	26	1	f	44, 69
2	2	1	wrong	53	34	1	f	20, 53

