f:	uh-huh
M:	and then turn left and go underneath the caravan
f:	uh-huh
M:	right
f:	right
M:	and then turn right so you come down the left-hand side of it and go underneath the picket fence
f:	mmhmm
M:	ehm have you got a picket fence
f:	aye i'm going back down south
M:	right you're going down south now
f:	aye aye right
M:	and then you're going to come straight down at forty-five degrees
f:	uh-huh
M:	right you're going to come up and you're about an inch above the old temple you're heading for the old
f:	right well stop now
M:	mmhmm
f:	right so out the caravan park
M:	uh-uh
f:	right go left then left again
M:	right
f:	right now is there anything i should be watching for
M:	no nothing at all
f:	aye
M:	have you come across from the caravan
f:	immediately past the caravan park
M:	"!!!!:!!""!!'!!!'!!226!!8!!148!!4!!147!!428!!7!!88!!81!!83!!84!!72!!92!!!,!!!.!!,!!75!!.!!!?!!2018!!2019!! 2018!!2017!!"
f:	uh-huh
M:	right
f:	right
M:	and then turn left and go upwards for a
f:	i don't go to the bottom of the map
M:	right just go straight along
f:	right uh-huh
M:	right go down 'til you're about a centimetre away from the edge of the page
f:	left come out turn left then turn left again and get to the bottom then turn left again
M:	right okay
f:	right
M:	well turn left and go along the bottom of the paper
f:	how how how
M:	"!!!r!!'!!""!!224!!228!!226!!92!!52!! assad!!okay!!i!!8!!4!!6!!7!!"
f:	right
M:	you go up about two inches directly up
f:	aye i'm by the old mill
M:	right well go up and round it
f:	the right
M:	the mill wheel
f:	right
M:	and then turn to your right
f:	uh-huh
M:	and stop right underneath the old temple
f:	uh-huh
M:	and then you're going down
f:	aye
M:	you should come up to about halfway between that
f:	right up the map
M:	uh-uh
f:	uh i'm nowhere near it
M:	you should be
f:	ah but there's something in the road
M:	oh right
f:	aye
M:	right go down past the diamond mine
f:	a forest
M:	forest stream
f:	aye but but the
M:	have you got a forest stream
f:	the maps have been drawn by different explorers
M:	right
f:	see i've landed in an obstacle
M:	"!!!!,!!'!!!'!!""!!.!!"
f:	i'll have to go through the forest
M:	uh-huh
f:	unfortunately right
M:	mmhmm
f:	right i've managed to get through it
M:	"right now you're wanting to go ehm is there anything below the ""s"" of safari truck"
f:	at the abandoned cottage aye
M:	aye
f:	yes
M:	right well you should be at the top left-most seagull
f:	uh-huh
M:	right
f:	right
M:	right now you should be about maybe half an inch from the bottom of the page
f:	uh okay
M:	and then turn right and go along the bottom of the page past the site of a plane crash
f:	another one
M:	you see the fenced my left
f:	no i've had a fenced meadow but there's only another there's nae more fenced meadows
M:	well there's two i've only got one fenced my
f:	no so that's irrelevant
M:	so i'm going up to the left-hand side of the abandoned cottage
f:	no
M:	no right where are you in china now
f:	i can't i don't know if i'm supposed to tell you that
M:	no you don't have to worry about that right now you're about an inch above the abandoned cottage
f:	aye right so i've been through a forest
M:	uh-huh
f:	because uh the the maps are different
M:	right okay right
f:	so there's nae fenced meadow right
M:	no
f:	no
M:	no okay
f:	come up to the abandoned cottage skirted it
M:	yeah
f:	and then turn right right
M:	mmhmm
f:	verstanden
M:	have you got a machete
f:	right
M:	"!!!'!!""!!89!!right!!abandon!!"
f:	uh-huh so i turn right by the abandoned cottage
M:	no turn right just continue your path
f:	okay
M:	now you want to go round the outside of that
f:	uh-huh
M:	right
f:	wait a minute sure i don't turn left
M:	no i donae have a lake at all
f:	if i turn right by the abandoned cottage that means i'm heading that way
