Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	i don't know i just	43	M	23, 65
2	4	do a lot of	9	M	39, 47
2	4	i do a lot	9	M	31, 39
2	4	we're going to go	15	M	33, 47
3	3	a lot of	17	M	31, 39, 47
3	3	i don't know	43	M	23, 29, 65
2	3	a couple of	21	M	47, 67
2	3	i do like	35	M	31, 65
2	3	yeah i do	3	M	43, 45
5	2	uh .	27	M	11, 15, 23, 35, 37
4	2	i don't	43	M	23, 29, 31, 65
3	2	a lot	17	M	31, 39, 47
3	2	i just	59	M	23, 65, 81
3	2	the the	49	M	33, 65, 81
3	2	to go	39	M	33, 47, 71
3	2	too .	5	M	39, 41, 43
3	2	uh i	43	M	23, 31, 65
3	2	uh-huh .	57	M	17, 51, 73
3	2	yeah .	59	M	1, 5, 59
2	2	and i	27	M	39, 65
2	2	and uh	7	M	31, 37
2	2	but i	3	M	29, 31
2	2	but uh	51	M	15, 65
2	2	have a	37	M	31, 67
2	2	i i	17	M	65, 81
2	2	it is	5	M	37, 41
2	2	like to	23	M	9, 31
2	2	of camping	39	M	9, 47
2	2	okay .	19	M	7, 25
2	2	so it	15	M	27, 41
2	2	so uh	13	M	23, 35
2	2	there .	3	M	47, 49
2	2	to the	15	M	33, 47
11	1	and	47	M	23, 31, 33, 37, 39, 41, 47, 61, 65, 67, 69
11	1	uh	61	M	9, 11, 15, 21, 23, 25, 31, 35, 37, 65, 69
10	1	i	59	M	23, 29, 31, 39, 43, 45, 65, 69, 75, 81
10	1	so	69	M	13, 23, 25, 27, 33, 35, 41, 63, 69, 81
9	1	yeah	79	M	1, 5, 37, 43, 45, 59, 67, 69, 79
8	1	a	47	M	23, 31, 39, 41, 47, 63, 67, 69
8	1	do	61	M	9, 31, 39, 43, 45, 47, 65, 69
8	1	of	59	M	9, 21, 31, 39, 41, 47, 53, 67
8	1	oh	77	M	3, 19, 53, 69, 71, 75, 77, 79
8	1	to	73	M	9, 23, 31, 33, 47, 69, 71, 81
6	1	just	59	M	23, 33, 61, 65, 69, 81
5	1	but	55	M	15, 29, 31, 65, 69
5	1	it	43	M	27, 37, 41, 53, 69
5	1	the	49	M	33, 47, 65, 69, 81
4	1	don't	43	M	23, 29, 31, 65
4	1	go	39	M	33, 47, 69, 71
4	1	have	51	M	31, 67, 69, 81
4	1	is	33	M	37, 41, 47, 69
4	1	know	43	M	23, 29, 33, 65
4	1	that	47	M	23, 39, 47, 69
4	1	too	9	M	39, 41, 43, 47
3	1	at	11	M	21, 25, 31
3	1	been	23	M	27, 47, 49
3	1	fun	43	M	27, 41, 69
3	1	in	47	M	23, 61, 69
3	1	like	57	M	9, 31, 65
3	1	okay	63	M	7, 25, 69
3	1	really	21	M	27, 31, 47
3	1	there	23	M	47, 49, 69
3	1	we	23	M	47, 67, 69
3	1	we're	29	M	33, 47, 61
3	1	you	61	M	9, 33, 69
2	1	are	9	M	69, 77
2	1	because	23	M	47, 69
2	1	from	35	M	47, 81
2	1	got	5	M	67, 71
2	1	here	23	M	47, 69
2	1	i'm	41	M	23, 63
2	1	my	67	M	3, 69
2	1	not	47	M	23, 69
2	1	one	13	M	69, 81
2	1	out	15	M	33, 47
2	1	right	45	M	25, 69
2	1	see	7	M	69, 75
2	1	they	9	M	69, 77
2	1	this	23	M	47, 69
2	1	two	9	M	61, 69
2	1	um	17	M	31, 47
2	1	we've	21	M	47, 67
2	1	well	39	M	31, 69
2	1	what	61	M	9, 69
2	1	yes	15	M	55, 69
2	1	you've	23	M	49, 71

