Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	I'm not sure .	3	M	6, 8
5	3	, uh ,	53	M	32, 34, 36, 38, 84
2	3	, I think	63	M	20, 82
2	3	, uh .	5	M	34, 38
2	3	I was just	15	M	6, 20
2	3	in high school	11	M	66, 76
2	3	the police .	13	M	28, 40
5	2	, uh	53	M	32, 34, 36, 38, 84
5	2	I think	65	M	18, 20, 34, 64, 82
4	2	, and	51	M	20, 32, 40, 70
3	2	, I	67	M	16, 20, 82
3	2	in the	9	M	14, 20, 22
3	2	that ,	53	M	20, 34, 72
2	2	, right	5	M	68, 72
2	2	, you're	45	M	2, 46
2	2	I don't	15	M	16, 30
2	2	I remember	3	M	70, 72
2	2	No ,	21	M	26, 46
2	2	What did	23	M	56, 78
2	2	a few	11	M	4, 14
2	2	are a	61	M	14, 74
2	2	do ?	67	M	12, 78
2	2	in a	31	M	40, 70
2	2	it ?	11	M	42, 52
2	2	school ,	57	M	20, 76
2	2	she was	5	M	66, 70
2	2	was probably	15	M	40, 54
2	2	weird .	33	M	50, 82
11	1	I	77	M	6, 16, 18, 20, 30, 34, 64, 66, 70, 72, 82
11	1	a	81	M	4, 14, 20, 34, 40, 54, 62, 68, 70, 74, 84
11	1	the	71	M	10, 14, 20, 22, 28, 40, 46, 54, 60, 64, 80
8	1	was	65	M	6, 20, 40, 42, 54, 66, 68, 70
7	1	in	63	M	14, 20, 22, 40, 66, 70, 76
6	1	What	79	M	0, 12, 42, 52, 56, 78
6	1	it	49	M	6, 20, 30, 42, 52, 54
5	1	I'm	79	M	6, 8, 16, 76, 84
5	1	and	57	M	14, 20, 32, 40, 70
4	1	are	63	M	12, 14, 60, 74
4	1	just	77	M	6, 20, 30, 82
4	1	school	57	M	20, 66, 74, 76
4	1	that	53	M	20, 34, 40, 72
4	1	you	65	M	12, 28, 74, 76
3	1	They	33	M	28, 54, 60
3	1	This	27	M	24, 38, 50
3	1	did	61	M	18, 56, 78
3	1	is	17	M	36, 50, 52
3	1	not	21	M	6, 8, 26
3	1	right	71	M	2, 68, 72
3	1	sure	69	M	6, 8, 74
3	1	they	39	M	18, 28, 56
3	1	to	49	M	6, 20, 54
2	1	And	11	M	22, 32
2	1	It's	25	M	4, 28
2	1	That's	37	M	44, 80
2	1	all	31	M	30, 60
2	1	been	5	M	0, 4
2	1	can	49	M	28, 76
2	1	for	5	M	0, 4
2	1	girl	7	M	68, 74
2	1	have	3	M	20, 22
2	1	it's	39	M	26, 64
2	1	of	3	M	62, 64
2	1	so	5	M	50, 54
2	1	that's	49	M	34, 82

