Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	i don't know what	77	M	59, 135
2	4	the top of the	45	M	61, 105
2	3	how do you	59	M	43, 101
2	3	i think you	3	M	35, 37
2	3	to the top	37	M	25, 61
2	3	where is it	15	M	95, 109
2	3	you can get	29	M	29, 57
6	2	of the	137	M	5, 35, 61, 73, 105, 141
5	2	in the	93	M	5, 29, 53, 77, 97
4	2	the right	109	M	33, 35, 127, 141
4	2	the top	83	M	23, 25, 61, 105
4	2	to the	103	M	25, 61, 123, 127
3	2	do you	59	M	43, 89, 101
3	2	have a	75	M	53, 97, 127
3	2	i don't	77	M	59, 67, 135
3	2	i think	53	M	35, 37, 87
3	2	is it	17	M	93, 95, 109
3	2	not a	39	M	73, 87, 111
3	2	right ?	127	M	1, 125, 127
3	2	where is	63	M	47, 95, 109
3	2	you can	71	M	29, 57, 99
3	2	you're right	55	M	83, 113, 137
2	2	, but	81	M	43, 123
2	2	a good	25	M	87, 111
2	2	are you	49	M	31, 79
2	2	have the	73	M	39, 111
2	2	i am	77	M	11, 87
2	2	i dont	17	M	123, 139
2	2	i have	13	M	39, 51
2	2	i mean	87	M	53, 139
2	2	i'll be	53	M	81, 133
2	2	is a	43	M	87, 129
2	2	is the	95	M	47, 141
2	2	it's not	13	M	111, 123
2	2	know ,	43	M	83, 125
2	2	line ?	63	M	43, 105
2	2	so you	27	M	57, 83
2	2	the ravines	49	M	5, 53
2	2	there ?	25	M	7, 31
2	2	under the	21	M	75, 95
2	2	yes and	63	M	3, 65
2	2	you know	55	M	29, 83
23	1	the	137	M	5, 15, 23, 25, 29, 33, 35, 37, 39, 47, 53, 57, 61, 73, 75, 77, 95, 97, 105, 111, 123, 127, 141
20	1	right	141	M	1, 23, 25, 33, 35, 49, 51, 55, 69, 81, 83, 91, 103, 113, 115, 121, 125, 127, 137, 141
19	1	i	129	M	11, 15, 19, 33, 35, 37, 39, 43, 51, 53, 59, 65, 67, 87, 121, 123, 125, 135, 139
15	1	you	99	M	29, 31, 35, 37, 43, 57, 79, 81, 83, 89, 99, 101, 107, 111, 127
13	1	to	115	M	25, 33, 37, 49, 61, 65, 81, 93, 111, 121, 123, 127, 139
12	1	a	117	M	13, 19, 29, 43, 53, 73, 87, 97, 111, 121, 127, 129
10	1	is	115	M	27, 47, 77, 87, 93, 95, 105, 109, 129, 141
9	1	of	137	M	5, 29, 35, 61, 63, 73, 105, 129, 141
8	1	it	67	M	43, 51, 67, 77, 93, 95, 99, 109
7	1	and	89	M	3, 17, 27, 57, 65, 81, 91
7	1	have	89	M	39, 51, 53, 97, 99, 111, 127
7	1	know	111	M	29, 59, 83, 123, 125, 135, 139
7	1	that	95	M	45, 59, 87, 89, 105, 111, 139
6	1	do	125	M	15, 43, 89, 97, 101, 139
6	1	in	129	M	5, 29, 53, 77, 97, 133
5	1	go	105	M	17, 21, 49, 61, 121
5	1	not	51	M	73, 87, 111, 117, 123
5	1	so	79	M	41, 57, 79, 83, 119
5	1	top	83	M	23, 25, 55, 61, 105
5	1	where	99	M	11, 47, 79, 95, 109
4	1	but	81	M	43, 77, 87, 123
4	1	can	85	M	15, 29, 57, 99
4	1	don't	77	M	59, 67, 111, 135
4	1	it's	119	M	5, 57, 111, 123
4	1	just	109	M	13, 53, 83, 121
4	1	what	109	M	27, 59, 119, 135
4	1	you're	55	M	83, 113, 135, 137
3	1	are	49	M	31, 53, 79
3	1	be	101	M	33, 81, 133
3	1	get	39	M	29, 57, 67
3	1	how	97	M	43, 101, 139
3	1	i'll	89	M	45, 81, 133
3	1	i'm	11	M	71, 73, 81
3	1	left	51	M	91, 103, 141
3	1	line	63	M	43, 57, 105
3	1	mean	105	M	35, 53, 139
3	1	oh	41	M	45, 49, 85
3	1	ok	29	M	71, 83, 99
3	1	on	63	M	71, 105, 133
3	1	then	95	M	9, 57, 103
3	1	there	101	M	7, 31, 107
3	1	under	31	M	65, 75, 95
3	1	yeah	59	M	57, 85, 115
2	1	about	3	M	133, 135
2	1	an	7	M	51, 57
2	1	avalanche	45	M	51, 95
2	1	come	13	M	81, 93
2	1	down	91	M	31, 121
2	1	draw	23	M	43, 65
2	1	from	3	M	29, 31
2	1	got	59	M	49, 107
2	1	like	31	M	13, 43
2	1	now	33	M	17, 49
2	1	page	61	M	61, 121
2	1	side	109	M	33, 141
2	1	sign	43	M	87, 129
2	1	too	31	M	93, 123
2	1	with	75	M	37, 111
2	1	yes	63	M	3, 65
2	1	your	37	M	27, 63

