Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
4	4	4	, you know ,	40	52	1	M	13, 40, 53, 64
5	1	3	, you know	13	63	1	B	2, 13, 40, 53, 64
3	3	3	a lot of	51	65	1	B	0, 51, 64
3	3	3	i mean ,	77	54	2	B	24, 40, 77
2	2	3	, they do	32	12	1	M	21, 32
2	2	3	, we are	65	66	1	B	0, 65
2	2	3	well , it's	19	18	1	B	2, 19
2	2	3	what , i'm	62	24	1	M	39, 62
8	6	2	well ,	9	27	1	B	2, 9, 10, 13, 19, 20, 21, 28
6	1	2	, you	65	64	1	B	2, 13, 40, 53, 64, 65
6	1	2	you know	39	63	1	B	2, 13, 39, 40, 53, 64
5	5	2	i think	73	74	4	B	0, 2, 20, 48, 73
4	4	2	, and	51	66	2	B	0, 14, 51, 65
4	2	2	, i'm	62	53	2	M	25, 39, 62, 77
4	2	2	, it's	19	39	2	B	2, 18, 19, 40
4	2	2	, they	24	24	1	M	21, 24, 32, 44
4	4	2	. i	27	35	1	B	18, 27, 32, 52
4	1	2	a lot	66	67	1	B	0, 51, 64, 66
4	4	2	yeah .	17	67	1	B	8, 17, 38, 74
3	3	2	, it	20	46	1	M	19, 20, 64
3	3	2	have a	70	20	2	M	51, 61, 70
3	3	2	i was	14	15	1	M	13, 14, 27
3	3	2	in a	61	42	2	B	20, 36, 61
3	3	2	in the	21	46	1	B	2, 21, 47
2	2	2	, if	24	4	1	M	21, 24
2	1	2	, we	65	66	1	B	0, 65
2	2	2	and you	65	42	1	B	24, 65
2	2	2	are they	47	10	1	B	38, 47
2	2	2	but i	77	14	1	B	64, 77
2	2	2	have ,	64	12	1	M	53, 64
2	2	2	it .	52	4	1	M	49, 52
2	2	2	know .	57	56	1	B	2, 57
2	2	2	school ,	21	2	1	B	20, 21
2	2	2	tell you	77	16	1	B	62, 77
2	2	2	they have	70	18	1	M	53, 70
2	2	2	was a	29	16	1	B	14, 29
27	13	1	i	7	80	2	B	0, 2, 7, 10, 11, 13, 14, 18, 20, 24, 27, 31, 32, 40, 41, 48, 51, 52, 57, 59, 61, 64, 65, 73, 76, 77, 79
18	11	1	a	25	81	4	B	0, 14, 20, 24, 25, 27, 29, 36, 46, 49, 51, 52, 61, 64, 66, 70, 77, 80
17	12	1	and	51	77	9	B	0, 2, 10, 14, 20, 24, 28, 38, 40, 51, 52, 61, 64, 65, 66, 70, 76
16	9	1	you	16	77	1	B	2, 13, 16, 20, 24, 34, 37, 39, 40, 53, 60, 62, 64, 65, 77, 78
13	5	1	they	24	60	2	M	11, 21, 24, 28, 32, 38, 44, 47, 49, 53, 60, 67, 70
11	5	1	in	21	74	3	B	0, 2, 20, 21, 24, 32, 36, 47, 52, 61, 73
11	11	1	that	24	58	2	M	19, 21, 24, 34, 40, 50, 51, 55, 59, 70, 76
10	6	1	it	17	51	1	B	14, 17, 19, 20, 27, 29, 49, 52, 59, 64
10	8	1	of	21	71	3	B	0, 16, 20, 21, 27, 28, 34, 51, 64, 70
9	5	1	have	21	79	1	B	0, 21, 28, 51, 53, 61, 64, 70, 78
8	4	1	i'm	62	55	3	M	25, 33, 39, 62, 71, 72, 77, 79
8	6	1	the	9	52	1	B	2, 9, 14, 21, 28, 46, 47, 53
8	8	1	to	47	61	6	B	0, 2, 16, 28, 36, 40, 47, 60
7	7	1	oh	27	49	2	B	12, 18, 27, 32, 40, 50, 60
7	2	1	think	59	74	4	B	0, 2, 20, 48, 59, 64, 73
7	3	1	yeah	17	73	3	B	2, 6, 8, 17, 38, 48, 74
6	6	1	is	24	64	2	M	17, 19, 24, 28, 60, 80
6	2	1	was	59	64	1	M	13, 14, 27, 29, 59, 76
5	2	1	are	47	66	3	B	0, 28, 38, 47, 65
5	3	1	do	21	66	1	B	0, 21, 32, 40, 65
5	1	1	it's	19	41	3	B	0, 2, 18, 19, 40
5	5	1	on	49	57	3	B	20, 24, 28, 49, 76
5	5	1	this	23	68	1	B	10, 23, 24, 39, 77
4	2	1	but	77	78	3	B	0, 24, 64, 77
4	4	1	everything	35	65	1	B	0, 35, 40, 64
4	4	1	that's	13	45	1	B	0, 13, 16, 44
4	4	1	them	69	70	3	B	0, 10, 24, 69
4	4	1	there	80	79	3	B	2, 66, 76, 80
4	3	1	we	45	66	2	B	0, 28, 45, 65
4	2	1	what	60	40	1	M	39, 60, 62, 78
3	3	1	for	61	38	2	B	24, 40, 61
3	3	1	got	61	63	1	B	16, 61, 78
3	3	1	he's	61	34	1	B	40, 61, 73
3	1	1	if	24	14	2	M	11, 21, 24
3	3	1	just	49	26	1	B	40, 49, 65
3	3	1	no	35	37	1	B	24, 35, 60
3	3	1	put	49	18	2	B	32, 36, 49
3	3	1	really	65	64	2	B	2, 64, 65
3	3	1	time	29	16	2	B	14, 20, 29
2	2	1	about	72	34	1	M	39, 72
2	2	1	been	61	2	1	B	60, 61
2	2	1	great	32	4	1	M	29, 32
2	2	1	their	47	24	1	B	24, 47
2	2	1	you're	65	22	1	B	44, 65

