,Speaker,Utterance,Unified
5,B,Yeah,B|Yeah
6,M,Like spaghetti?,M|Like spaghetti?
7,B,No.,B|No.
8,M,"Well, I don't have kids, so...","M|Well, I don't have kids, so..."
9,B,"Huh-uh. *According to the following utterance, this is an AFFIRMATIVE answer, so should be ""Uh-huh"" Just my husband and I and the two dogs.","B|Huh-uh. *According to the following utterance, this is an AFFIRMATIVE answer, so should be ""Uh-huh"" Just my husband and I and the two dogs."
10,M,I'm not sure.,M|I'm not sure.
11,B,So what about yours?,B|So what about yours?
12,M,Yeah. I don't have any of those things.,M|Yeah. I don't have any of those things.
13,B,Uh-huh.,B|Uh-huh.
14,M,"Oh, uh huh.","M|Oh, uh huh."
15,B,"So I guess it's supposed to be dinner party, is that what they said?","B|So I guess it's supposed to be dinner party, is that what they said?"
16,M,I guess it is.,M|I guess it is.
17,B,"Uh-huh. Huh, we don't,","B|Uh-huh. Huh, we don't,"
18,M,I dunno.,M|I dunno.
19,B,"Think you,","B|Think you,"
20,M,I think you.,M|I think you.
21,B,"Uh-huh, uh-huh.","B|Uh-huh, uh-huh."
22,M,Ohhuh. Uhuh.,M|Ohhuh. Uhuh.
23,B,"Uh-huh. Sometimes we'll have, uh, we'll have a bunch of people over and cook deer.","B|Uh-huh. Sometimes we'll have, uh, we'll have a bunch of people over and cook deer."
24,M,u wot m8,M|u wot m8
25,B,Huh?,B|Huh?
26,M,"Oh gosh, uh, yeah.","M|Oh gosh, uh, yeah."
27,B,How do we usually?,B|How do we usually?
28,M,"We've got, uh, we've got a deer, uh...","M|We've got, uh, we've got a deer, uh..."
29,B,"On the grill, we'll take the back strap and soak it in Italian dressing for a couple of hours and throw it on the grill","B|On the grill, we'll take the back strap and soak it in Italian dressing for a couple of hours and throw it on the grill"
30,M,I'm not sure if I can do that.,M|I'm not sure if I can do that.
31,B,and it is good.,B|and it is good.
32,M,We have some in the kitchen,M|We have some in the kitchen
33,B,Real good.,B|Real good.
34,M,Is that good?,M|Is that good?
35,B,"Either that or hamburgers, we really don't have dinner parties.","B|Either that or hamburgers, we really don't have dinner parties."
36,M,It's like an old timey English dinner party.,M|It's like an old timey English dinner party.
37,B,Uh-huh. Ooh. Uh-huh. Uh-huh.,B|Uh-huh. Ooh. Uh-huh. Uh-huh.
38,M,This is the only thing that's been happening to me. I can't even remember the last time.,M|This is the only thing that's been happening to me. I can't even remember the last time.
39,B,Did you kill the deer?,B|Did you kill the deer?
40,M,I'm not sure.,M|I'm not sure.
41,B,No.,B|No.
42,M,It's the deer.,M|It's the deer.
43,B,Uh-huh,B|Uh-huh
44,M,I am a deer.,M|I am a deer.
45,B,Uh-huh.,B|Uh-huh.
46,M,"I think it was given by some friend, and they were just going to go hunting.","M|I think it was given by some friend, and they were just going to go hunting."
47,B,Uh-huh.,B|Uh-huh.
48,M,I don't think you're in the woods.,M|I don't think you're in the woods.
49,B,Uh-huh.,B|Uh-huh.
50,M,"uhuhuh, you know, uhuhuh.","M|uhuhuh, you know, uhuhuh."
51,B,"Oh, well, that's nice.","B|Oh, well, that's nice."
52,M,"Yeah, the lion.","M|Yeah, the lion."
53,B,Uh-huh.,B|Uh-huh.
54,M,"Wait, who is the winner of the lottery?","M|Wait, who is the winner of the lottery?"
55,B,"Yeah, we still got some from last year.","B|Yeah, we still got some from last year."
56,M,Didn't we get like a dozen last year?,M|Didn't we get like a dozen last year?
57,B,Yeah.,B|Yeah.
58,M,Last year?,M|Last year?
59,B,"Uh-huh, uh-huh. Yeah. We we usually have most of it made into, uh, hamburger meat, though. And cook, you know, spaghetti with it.","B|Uh-huh, uh-huh. Yeah. We we usually have most of it made into, uh, hamburger meat, though. And cook, you know, spaghetti with it."
60,M,,M|
61,B,Chili.,B|Chili.
62,M,"I dunno, I don't really eat meat.","M|I dunno, I don't really eat meat."
63,B,"So,","B|So,"
64,M,I'm sorry.,M|I'm sorry.
65,B,Uh-huh,B|Uh-huh
66,M,"No, no, no.","M|No, no, no."
67,B,"Uh-huh. Yeah, yeah.","B|Uh-huh. Yeah, yeah."
68,M,"Well uh, uh, yeah.","M|Well uh, uh, yeah."
69,B,Um.,B|Um.
70,M,"Uhh, uh, uh","M|Uhh, uh, uh"
71,B,Uh-huh.,B|Uh-huh.
72,M,It's uh.,M|It's uh.
73,B,Oh.,B|Oh.
74,M,Heh. I'm gonna go...,M|Heh. I'm gonna go...
75,B,Oh.,B|Oh.
76,M,"You know, I just don't like tacos.","M|You know, I just don't like tacos."
77,B,Uh-huh.,B|Uh-huh.
78,M,OH.,M|OH.
79,B,This isn't a good topic for me right now. I'm on a diet,B|This isn't a good topic for me right now. I'm on a diet
80,M,"I am not so much of a potato. I am a potato, so I can eat them.","M|I am not so much of a potato. I am a potato, so I can eat them."
81,B,Um.,B|Um.
82,M,"Yeah, uh. I'm gonna go eat some potatoes.","M|Yeah, uh. I'm gonna go eat some potatoes."
83,B,"Yeah, I have, too. I was real skinny till I was ten.","B|Yeah, I have, too. I was real skinny till I was ten."
84,M,You've been fat since you were ten.,M|You've been fat since you were ten.
