,Speaker,Utterance,Unified
5,B,Surely.,B|Surely.
6,M,"So, I think that's one of the reasons that we have so many problems with, uh","M|So, I think that's one of the reasons that we have so many problems with, uh"
7,B,"You mean they don't have the, uh, the smog alerts?","B|You mean they don't have the, uh, the smog alerts?"
8,M,"Well, no, not really. We've had some, uh. We had some hail, uh in the forecast for about an hour or so, and, um, we were watching for hail.","M|Well, no, not really. We've had some, uh. We had some hail, uh in the forecast for about an hour or so, and, um, we were watching for hail."
9,B,"Right. I, I, yeah, I spent a summer in Tyler so I know, just east of Dallas there.","B|Right. I, I, yeah, I spent a summer in Tyler so I know, just east of Dallas there."
10,M,"Oh, okay.","M|Oh, okay."
11,B,"Oh, really","B|Oh, really"
12,M,"Yeah, so,","M|Yeah, so,"
13,B,"Yeah. Actually, I'm a California born person.","B|Yeah. Actually, I'm a California born person."
14,M,I see.,M|I see.
15,B,"I was born in L A so I know what you're talking about. In L A, it's pretty bad.","B|I was born in L A so I know what you're talking about. In L A, it's pretty bad."
16,M,"Yeah, it is.","M|Yeah, it is."
17,B,"Uh, the worst city in the, in the world is actually, uh, Mexico City.","B|Uh, the worst city in the, in the world is actually, uh, Mexico City."
18,M,"Oh, okay, okay","M|Oh, okay, okay"
19,B,Yes.,B|Yes.
20,M,Oh.,M|Oh.
21,B,The worst one for smog is Mexico City.,B|The worst one for smog is Mexico City.
22,M,"Oh, really? Oh, yeah, well, I guess, I don't know. I guess you just have to look at it from the south, because we're so heavily polluted down there that, uh","M|Oh, really? Oh, yeah, well, I guess, I don't know. I guess you just have to look at it from the south, because we're so heavily polluted down there that, uh"
23,B,The most polluted city in the world,B|The most polluted city in the world
24,M,Yeah.,M|Yeah.
25,B,". Yeah. I know that they've, they're looking at, uh, uh, you know, uh, you know, better running automobiles.","B|. Yeah. I know that they've, they're looking at, uh, uh, you know, uh, you know, better running automobiles."
26,M,Yeah.,M|Yeah.
27,B,"Uh, some things they do, one of them is they're using corn in fuel.","B|Uh, some things they do, one of them is they're using corn in fuel."
28,M,"Oh, really?","M|Oh, really?"
29,B,You ever heard of that?,B|You ever heard of that?
30,M,!!!%!! Remind me.,M|!!!%!! Remind me.
31,B,Yeah. Methanol?,B|Yeah. Methanol?
32,M,!!!%!! translated,M|!!!%!! translated
33,B,"Yeah. Well that's big up here because of the, they grow a lot of corn","B|Yeah. Well that's big up here because of the, they grow a lot of corn"
34,M,!!!%,M|!!!%
35,B,"Uh, that's one thing that they do. At that, it's pretty easy to do.","B|Uh, that's one thing that they do. At that, it's pretty easy to do."
36,M,"Yeah, it is.","M|Yeah, it is."
37,B,"And the, uh, unfortunately, it still contributes to global warming cause, you have to, you know, wipe out forests to grow corn and things like that.","B|And the, uh, unfortunately, it still contributes to global warming cause, you have to, you know, wipe out forests to grow corn and things like that."
38,M,Yeah.,M|Yeah.
39,B,"It doesn't make sense. Uh, but it's, you know, one of the most, uh, productive crop in the world  is corn.","B|It doesn't make sense. Uh, but it's, you know, one of the most, uh, productive crop in the world  is corn."
40,M,"Oh, really?","M|Oh, really?"
41,B,Yeah.,B|Yeah.
42,M,But I think that's the only thing that you can't.,M|But I think that's the only thing that you can't.
43,B,"Drive cars with catalytic converters, and all that. It's interesting. They're, they're looking at, there's some work being done on, uh, automobiles that are electrical powered","B|Drive cars with catalytic converters, and all that. It's interesting. They're, they're looking at, there's some work being done on, uh, automobiles that are electrical powered"
44,M,Uh-huh.,M|Uh-huh.
45,B,"And, uh, they're looking at where you have a battery operated car basically, but it has a, a engine in the back that charges it.","B|And, uh, they're looking at where you have a battery operated car basically, but it has a, a engine in the back that charges it."
46,M,"Oh, really.","M|Oh, really."
47,B,So the engine kicks on when the batteries need power and it turns off.,B|So the engine kicks on when the batteries need power and it turns off.
48,M,Right.,M|Right.
49,B,"Interesting thing about gas is when, I mean, about battery powered cars is when you're at a stop light, you're not using any any energy","B|Interesting thing about gas is when, I mean, about battery powered cars is when you're at a stop light, you're not using any any energy"
50,M,"Uh, no.","M|Uh, no."
51,B,Unlike a car where it's running.,B|Unlike a car where it's running.
52,M,Right.,M|Right.
53,B,A electric car it's on demand. I mean it's either on or off.,B|A electric car it's on demand. I mean it's either on or off.
