Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	8	up through between the cottage and the ravine	23	g	18, 40
2	7	to the left of the concealed hideout	7	g	96, 102
3	6	between the cottage and the ravine	23	g	18, 22, 40
2	6	and i want you to draw	39	g	80, 118
5	5	i want you to draw	101	g	18, 54, 80, 116, 118
3	5	i want you to go	29	g	64, 74, 92
3	5	to the left of the	97	g	6, 96, 102
3	5	well i want you to	37	g	110, 116, 146
2	5	just to the right of	61	g	48, 108
2	5	where the pebbled shore is	7	g	118, 124
13	4	i want you to	129	g	18, 48, 54, 64, 74, 80, 86, 92, 108, 110, 116, 118, 146
4	4	to the left of	103	g	0, 6, 96, 102
4	4	to the right of	65	g	44, 48, 78, 108
4	4	want you to go	29	g	64, 74, 90, 92
3	4	do you have a	41	g	42, 50, 82
3	4	of the concealed hideout	19	g	84, 96, 102
2	4	a boat house to	21	g	82, 102
2	4	do you see where	3	g	102, 104
2	4	down from the start	31	g	0, 30
2	4	imagine you've got a	17	g	102, 118
2	4	just draw round it	143	g	8, 150
2	4	right do you have	31	g	82, 112
2	4	right underneath the cottage	23	g	16, 38
2	4	the top of the	3	g	54, 56
2	4	then do you have	9	g	50, 58
2	4	underneath the pine grove	3	g	54, 56
2	4	you weren't meant to	5	g	24, 28
7	3	do you have	73	g	42, 50, 58, 62, 82, 112, 114
6	3	to the right	91	g	44, 48, 50, 78, 108, 134
5	3	to your right	81	g	4, 16, 54, 64, 84
4	3	the cottage and	23	g	18, 20, 22, 40
4	3	the pine grove	15	g	54, 56, 64, 68
3	3	above the ravine	11	g	40, 46, 50
3	3	just to the	109	g	0, 48, 108
3	3	right do you	31	g	82, 102, 112
3	3	the pebbled shore	9	g	118, 124, 126
3	3	to your left	59	g	82, 112, 140
3	3	underneath the cottage	23	g	16, 20, 38
3	3	you see where	7	g	102, 104, 108
2	3	a remote village	3	g	42, 44
2	3	above pebbled shore	21	g	118, 138
2	3	and then ehm	45	g	74, 118
2	3	down to there	29	g	100, 128
2	3	have you got	115	g	4, 118
2	3	in a diagonal	87	g	54, 140
2	3	is that just	101	g	60, 160
2	3	is the cottage	3	g	10, 12
2	3	just underneath concealed	27	g	80, 106
2	3	jutting out bit	7	g	104, 110
2	3	of the ravine	51	g	6, 56
2	3	past burnt forest	7	g	26, 32
2	3	pebbled shore and	3	g	116, 118
2	3	right of the	37	g	48, 84
2	3	see where the	3	g	122, 124
2	3	sort of like	51	g	54, 104
2	3	take the line	5	g	12, 16
2	3	the boat house	7	g	86, 92
2	3	the finish is	27	g	128, 154
2	3	underneath concealed hideout	27	g	80, 106
2	3	well just draw	133	g	8, 140
2	3	well that's okay	139	g	12, 150
13	2	to the	155	g	0, 6, 44, 48, 50, 78, 92, 96, 102, 108, 110, 134, 154
10	2	do you	73	g	42, 50, 58, 62, 82, 84, 102, 104, 112, 114
9	2	concealed hideout	49	g	62, 74, 78, 80, 84, 96, 102, 106, 110
9	2	of the	125	g	6, 48, 54, 56, 84, 96, 102, 110, 130
9	2	the cottage	31	g	10, 12, 16, 18, 20, 22, 36, 38, 40
8	2	the ravine	51	g	6, 12, 18, 22, 40, 46, 50, 56
8	2	to your	137	g	4, 16, 54, 64, 82, 84, 112, 140
6	2	and then	135	g	20, 58, 74, 118, 144, 154
6	2	pebbled shore	25	g	114, 116, 118, 124, 126, 138
6	2	pine grove	17	g	52, 54, 56, 58, 64, 68
6	2	see where	27	g	102, 104, 108, 122, 124, 128
6	2	your right	89	g	4, 16, 54, 64, 84, 92
5	2	the left	139	g	0, 6, 96, 102, 138
4	2	and the	51	g	18, 22, 40, 68
4	2	between the	51	g	18, 22, 40, 68
4	2	burnt forest	49	g	0, 26, 32, 48
4	2	can you	111	g	16, 68, 102, 126
4	2	from the	155	g	0, 30, 56, 154
4	2	just to	119	g	0, 48, 108, 118
4	2	okay right	53	g	12, 26, 30, 64
4	2	the line	99	g	12, 16, 54, 110
4	2	well i	39	g	110, 116, 146, 148
4	2	where the	21	g	104, 118, 122, 124
4	2	your left	59	g	82, 92, 112, 140
3	2	and go	133	g	16, 54, 148
3	2	got a	115	g	4, 102, 118
3	2	have you	115	g	4, 100, 118
3	2	i don't	59	g	90, 118, 148
3	2	in a	93	g	48, 54, 140
3	2	is there	115	g	14, 48, 128
3	2	meant to	7	g	24, 28, 30
3	2	of like	57	g	48, 54, 104
3	2	remote village	7	g	42, 44, 48
3	2	sort of	75	g	54, 104, 128
3	2	the avalanche	9	g	64, 68, 72
3	2	the flagship	39	g	122, 154, 160
3	2	up through	23	g	18, 20, 40
3	2	you see	7	g	102, 104, 108
3	2	you've got	119	g	0, 102, 118
3	2	your line	119	g	0, 50, 118
2	2	'til you	71	g	40, 110
2	2	a bit	115	g	4, 118
2	2	a pine	3	g	50, 52
2	2	a triangle	79	g	48, 126
2	2	beside the	149	g	12, 160
2	2	coconut palm	5	g	112, 116
2	2	come to	9	g	110, 118
2	2	crane bay	9	g	102, 110
2	2	down vertically	15	g	6, 20
