Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	3	i have a	67	M	23, 43, 89
2	3	don't know where	27	M	27, 53
2	3	on the right	135	M	3, 137
2	3	side of the	41	M	97, 137
5	2	in the	133	M	3, 59, 63, 99, 135
5	2	on the	135	M	3, 45, 95, 97, 137
4	2	i have	67	M	23, 39, 43, 89
4	2	of the	85	M	53, 97, 127, 137
3	2	are you	15	M	109, 111, 123
3	2	so you're	119	M	3, 95, 121
2	2	, so	95	M	3, 97
2	2	and then	105	M	11, 115
2	2	but i	101	M	27, 127
2	2	gonna be	9	M	73, 81
2	2	i don't	41	M	27, 67
2	2	i mean	77	M	5, 81
2	2	i think	59	M	3, 61
2	2	i'm not	7	M	99, 105
2	2	it's not	49	M	81, 129
2	2	not a	105	M	25, 129
2	2	now ?	75	M	49, 123
2	2	okay ,	17	M	109, 125
2	2	pretty sure	3	M	79, 81
2	2	right ,	35	M	3, 37
2	2	that's what	67	M	35, 101
2	2	the map	75	M	63, 137
2	2	the ravines	25	M	3, 27
2	2	to make	57	M	71, 127
2	2	to the	59	M	27, 85
2	2	what i	31	M	5, 35
2	2	where the	45	M	9, 53
2	2	you can	17	M	47, 63
24	1	the	135	M	3, 9, 17, 27, 33, 39, 45, 53, 55, 59, 63, 65, 71, 79, 85, 95, 97, 99, 103, 117, 127, 131, 135, 137
16	1	i	135	M	3, 5, 23, 27, 35, 39, 43, 57, 61, 67, 81, 87, 89, 113, 127, 137
16	1	you	123	M	5, 21, 23, 31, 39, 47, 53, 63, 71, 97, 103, 105, 109, 111, 123, 127
13	1	a	123	M	7, 21, 23, 25, 29, 37, 43, 59, 73, 89, 99, 121, 129
10	1	right	137	M	1, 3, 37, 51, 83, 97, 123, 129, 131, 137
7	1	not	115	M	15, 25, 79, 81, 99, 105, 129
7	1	on	135	M	3, 45, 95, 97, 117, 123, 137
7	1	to	125	M	3, 27, 71, 85, 103, 107, 127
7	1	up	129	M	9, 13, 31, 91, 103, 125, 137
7	1	what	107	M	5, 35, 41, 71, 101, 105, 111
6	1	and	115	M	11, 13, 39, 99, 115, 125
6	1	in	133	M	3, 59, 63, 99, 131, 135
6	1	so	119	M	3, 49, 57, 95, 97, 121
5	1	are	121	M	3, 109, 111, 117, 123
5	1	i'm	61	M	45, 51, 81, 99, 105
5	1	of	85	M	53, 59, 97, 127, 137
5	1	that	97	M	31, 49, 81, 105, 127
5	1	then	123	M	11, 25, 73, 115, 133
5	1	you're	119	M	3, 25, 79, 95, 121
4	1	I'm	93	M	13, 79, 97, 105
4	1	be	95	M	3, 73, 81, 97
4	1	but	101	M	27, 31, 33, 127
4	1	now	75	M	49, 69, 113, 123
4	1	oh	75	M	39, 45, 83, 113
4	1	okay	57	M	77, 109, 125, 133
4	1	side	63	M	75, 97, 119, 137
4	1	sure	49	M	79, 81, 105, 127
4	1	think	101	M	3, 57, 61, 103
3	1	I	55	M	49, 101, 103
3	1	about	39	M	89, 111, 127
3	1	can	43	M	21, 47, 63
3	1	go	109	M	27, 31, 135
3	1	gonna	63	M	73, 81, 135
3	1	is	45	M	9, 41, 53
3	1	just	101	M	25, 47, 125
3	1	know	49	M	5, 27, 53
3	1	map	127	M	11, 63, 137
3	1	mean	101	M	5, 81, 105
3	1	more	45	M	37, 73, 81
3	1	that's	73	M	29, 35, 101
3	1	wall	21	M	39, 55, 59
3	1	yeah	47	M	1, 31, 47
2	1	do	11	M	39, 49
2	1	down	57	M	13, 69
2	1	east	53	M	47, 99
2	1	end	53	M	85, 137
2	1	got	11	M	7, 17
2	1	how	71	M	39, 109
2	1	if	3	M	23, 25
2	1	it	23	M	41, 63
2	1	left	3	M	117, 119
2	1	meant	3	M	101, 103
2	1	my	9	M	117, 125
2	1	ok	13	M	113, 125
2	1	say	23	M	103, 125
2	1	see	51	M	63, 113
2	1	this	29	M	61, 89
2	1	uhhh	3	M	115, 117
2	1	we've	45	M	17, 61
2	1	yes	75	M	19, 93

